1806
     0 1 apple10/apple10-000-000
     1 1 apple10/apple10-022-000
     2 1 apple10/apple10-022-090
     3 1 apple10/apple10-035-045
     4 1 apple10/apple10-035-135
     5 1 apple10/apple10-045-000
     6 1 apple10/apple10-045-090
     7 1 apple10/apple10-066-027
     8 1 apple10/apple10-066-063
     9 1 apple10/apple10-066-117
    10 1 apple10/apple10-066-153
    11 1 apple10/apple10-090-000
    12 1 apple10/apple10-090-045
    13 1 apple10/apple10-090-068
    14 1 apple10/apple10-090-090
    15 1 apple10/apple10-090-112
    16 1 apple10/apple10-090-135
    17 1 apple10/apple10-090-180
    18 1 apple10/apple10-090-225
    19 1 apple10/apple10-090-248
    20 1 apple10/apple10-090-270
    21 1 apple11/apple11-000-000
    22 1 apple11/apple11-022-000
    23 1 apple11/apple11-022-090
    24 1 apple11/apple11-035-045
    25 1 apple11/apple11-035-135
    26 1 apple11/apple11-045-000
    27 1 apple11/apple11-045-090
    28 1 apple11/apple11-066-027
    29 1 apple11/apple11-066-063
    30 1 apple11/apple11-066-117
    31 1 apple11/apple11-066-153
    32 1 apple11/apple11-090-000
    33 1 apple11/apple11-090-045
    34 1 apple11/apple11-090-068
    35 1 apple11/apple11-090-090
    36 1 apple11/apple11-090-112
    37 1 apple11/apple11-090-135
    38 1 apple11/apple11-090-180
    39 1 apple11/apple11-090-225
    40 1 apple11/apple11-090-248
    41 1 apple11/apple11-090-270
    42 1 apple1/apple1-000-000
    43 1 apple1/apple1-022-000
    44 1 apple1/apple1-022-090
    45 1 apple1/apple1-035-045
    46 1 apple1/apple1-035-135
    47 1 apple1/apple1-045-000
    48 1 apple1/apple1-045-090
    49 1 apple1/apple1-066-027
    50 1 apple1/apple1-066-063
    51 1 apple1/apple1-066-117
    52 1 apple1/apple1-066-153
    53 1 apple1/apple1-090-000
    54 1 apple1/apple1-090-045
    55 1 apple1/apple1-090-068
    56 1 apple1/apple1-090-090
    57 1 apple1/apple1-090-112
